player,word,score,dia
aireo,corta,2,38
aireo,feliz,3,39
aireo,miope,2,40
aireo,mojar,3,41
aireo,cesta,3,42
aireo,soplo,3,43
aireo,nueve,2,44
aireo,radio,2,45
aireo,sexto,3,46
aireo,sucio,2,47
aireo,papel,2,48
aireo,huevo,3,49
aireo,polar,3,50
aireo,rotar,3,51
aireo,fuego,3,52
aireo,lucir,2,53
aireo,macho,3,54
aireo,braza,3,55
aireo,serio,2,56
aireo,libra,3,57
aireo,enano,2,58
aireo,salsa,3,59
aireo,ciego,3,60
aireo,mujer,2,61
aireo,sauna,3,62
aireo,malta,3,63
aireo,civil,2,64
aireo,flota,3,65
aireo,chile,3,66
aireo,acudo,3,67
aireo,modas,4,68
aireo,criar,3,69
aireo,hurto,2,70
aireo,latir,3,71
aireo,risas,2,72
aireo,ganso,3,73
aireo,suiza,3,74
aireo,otoño,3,75
aireo,suelo,3,76
aireo,exito,2,77
aireo,caber,2,78
aireo,epica,3,79
aireo,perra,3,80
aireo,juego,3,81
aireo,igneo,2,82
aireo,ingle,3,83
aireo,mango,3,84
aireo,caida,3,85
aireo,doler,3,86
aireo,album,3,87
aireo,sudar,4,88
aireo,duque,3,89
aireo,curro,2,90
aireo,musgo,3,91
aireo,varon,2,92
aireo,crear,3,93
aireo,carne,3,94
aireo,ovulo,4,95
aireo,nivel,2,96
aireo,villa,3,97
aireo,moral,2,98
aireo,parte,3,99
aireo,anexo,2,100
aireo,tapiz,3,101
aireo,fecha,3,102
aireo,sesgo,4,103
aireo,ligar,3,104
aireo,chino,2,105
aireo,patio,2,106
aireo,votar,3,107
aireo,torso,2,108
aireo,avion,2,109
aireo,dudar,4,110
aireo,forja,2,111
aireo,odiar,2,112
aireo,utero,2,113
aireo,cauce,3,114
aireo,hogar,3,115
aireo,relax,3,116
aireo,yelmo,4,117
aireo,regla,4,118
aireo,marzo,3,119
aireo,cairo,3,120
aireo,aereo,2,121
aireo,negro,2,122
aireo,modal,4,123
aireo,caldo,3,124
aireo,museo,2,125
aireo,abrir,3,126
aireo,laser,3,127
aireo,signo,3,128
aireo,nariz,2,129
aireo,peine,3,130
aireo,turno,2,131
aireo,coche,3,132
aireo,pleno,3,133
aireo,fibra,3,134
aireo,faena,3,135
aireo,sitio,3,136
aireo,balsa,3,137
aireo,ambar,3,138
aireo,recta,3,139
aireo,aquel,3,140
aireo,impar,3,141
aireo,tonto,3,142
aireo,tirar,2,143
aireo,caras,2,144
aireo,fluir,3,145
aireo,japon,3,146
aireo,lugar,3,147
aireo,coger,3,148
aireo,traza,3,149
aireo,tibio,4,150
aireo,tenis,2,151
aireo,monto,3,152
aireo,curva,2,153
aireo,oveja,3,154
aireo,rumor,2,155
aireo,sobra,3,156
aireo,helio,2,157
aireo,abaco,3,158
aireo,gallo,3,159
aireo,trama,3,160
aireo,moler,2,161
aireo,barro,3,162
aireo,bando,3,163
aireo,lista,3,164
aireo,terna,2,165
aireo,claro,2,166
aireo,burla,2,167
aireo,salir,3,168
aireo,magia,3,169
aireo,boxeo,2,170
aireo,combo,2,171
aireo,arepa,2,172
aireo,dolar,4,173
aireo,rifar,3,174
aireo,ideal,3,175
aireo,cinco,3,176
aireo,cenar,2,177
aireo,selva,3,178
aireo,rayon,4,179
aireo,tigre,2,180
aireo,opera,2,181
aireo,clave,3,182
aireo,arpon,2,183
aireo,karma,2,184
aireo,subir,3,185
aireo,banda,3,186
aireo,cavar,3,187
aireo,tenaz,3,188
aireo,prima,3,189
aireo,cerda,3,190
aireo,arder,2,191
aireo,pañal,3,192
aireo,mixta,3,193
aireo,limon,2,194
aireo,buena,3,195
aireo,espia,3,196
aireo,horno,2,197
aireo,aguda,2,198
aireo,polea,2,199
aireo,sifon,3,200
aireo,atomo,3,201
aireo,cisne,3,202
aireo,sufro,3,203
aireo,sorda,2,204
aireo,quedo,3,205
aireo,teñir,3,206
aireo,novia,2,207
aireo,sordo,2,208
aireo,teson,3,209
aireo,curso,2,210
aireo,suena,3,211
aireo,queso,3,212
aireo,frase,3,213
aireo,flaco,3,214
aireo,rubio,3,215
aireo,drama,3,216
aireo,traje,3,217
aireo,calvo,3,218
aireo,suero,2,219
aireo,ebrio,3,220
aireo,arbol,3,221
aireo,gasto,3,222
aireo,golfo,3,223
aireo,cacho,4,224
aireo,primo,3,225
aireo,rombo,3,226
aireo,falsa,3,227
aireo,diosa,2,228
aireo,flaca,4,229
aireo,bahia,3,230
aireo,dupla,3,231
aireo,minar,3,232
aireo,ilesa,2,233
aireo,unica,3,234
aireo,viaje,2,235
aireo,anual,3,236
aireo,gansa,4,237
aireo,muela,3,238
cesar,corta,3,38
cesar,feliz,3,39
cesar,miope,3,40
cesar,mojar,3,41
cesar,cesta,2,42
cesar,soplo,2,43
cesar,nueve,4,44
cesar,radio,3,45
cesar,sexto,2,46
cesar,sucio,2,47
cesar,papel,3,48
cesar,huevo,3,49
cesar,polar,3,50
cesar,rotar,3,51
cesar,fuego,3,52
cesar,lucir,2,53
cesar,macho,3,54
cesar,braza,3,55
cesar,serio,2,56
cesar,libra,3,57
cesar,enano,3,58
cesar,salsa,3,59
cesar,ciego,2,60
cesar,mujer,2,61
cesar,sauna,3,62
cesar,malta,3,63
cesar,civil,3,64
cesar,flota,3,65
cesar,chile,3,66
cesar,acudo,3,67
cesar,modas,2,68
cesar,criar,2,69
cesar,hurto,3,70
cesar,latir,2,71
cesar,risas,2,72
cesar,ganso,3,73
cesar,suiza,3,74
cesar,otoño,3,75
cesar,suelo,3,76
cesar,exito,3,77
cesar,caber,2,78
cesar,epica,2,79
cesar,perra,2,80
cesar,juego,3,81
cesar,igneo,3,82
cesar,ingle,3,83
cesar,mango,3,84
cesar,caida,3,85
cesar,doler,2,86
cesar,album,3,87
cesar,sudar,2,88
cesar,duque,3,89
cesar,curro,2,90
cesar,musgo,2,91
cesar,varon,3,92
cesar,crear,2,93
cesar,carne,2,94
cesar,ovulo,3,95
cesar,nivel,3,96
cesar,villa,3,97
cesar,moral,3,98
cesar,parte,3,99
